Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,46358994.54911919,46358994.54911918,6791184.0 
 01/01  02:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  03:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  04:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  05:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  06:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  07:00:00,65909926.82702957,65909926.82702957,6791184.0 
 01/01  08:00:00,47272434.18386557,47272434.18386557,6791184.0 
 01/01  09:00:00,46644277.33482671,46644277.33482671,6791184.0 
 01/01  10:00:00,46312873.95982133,46312873.95982133,6791184.0 
 01/01  11:00:00,46288812.515972845,46288812.51597284,6791184.0 
 01/01  12:00:00,57540108.99906981,57540108.9990698,6791184.0 
 01/01  13:00:00,68050495.15883113,68050495.15883112,6791184.0 
 01/01  14:00:00,73214499.9488135,73214499.9488135,6791184.0 
 01/01  15:00:00,68954966.32324295,68954966.32324293,6791184.0 
 01/01  16:00:00,58461420.7961822,58461420.796182185,6791184.0 
 01/01  17:00:00,46468867.974076875,46468867.974076875,6791184.0 
 01/01  18:00:00,52019432.37866635,52019432.37866635,6791184.0 
 01/01  19:00:00,57298912.8740647,57298912.8740647,6791184.0 
 01/01  20:00:00,48904615.70955594,48904615.70955593,6791184.0 
 01/01  21:00:00,48904615.70955594,48904615.70955593,6791184.0 
 01/01  22:00:00,48904615.70955594,48904615.70955593,6791184.0 
 01/01  23:00:00,48904615.70955594,48904615.70955593,6791184.0 
 01/01  24:00:00,48904615.70955594,48904615.70955593,6791184.0 
 01/02  01:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  02:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  03:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  04:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  05:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  06:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/02  07:00:00,108657557.20084919,108657557.20084919,6791184.0 
 01/02  08:00:00,164842514.3301295,164842514.33012956,6791184.0 
 01/02  09:00:00,343252312.33549875,343252312.33549875,6791184.0 
 01/02  10:00:00,307891592.41617334,307891592.4161733,6791184.0 
 01/02  11:00:00,306111503.5660304,306111503.5660304,20522946.889477096 
 01/02  12:00:00,320541306.4161777,320541306.41617763,25783061.26601292 
 01/02  13:00:00,320572165.9785485,320572165.97854847,31704199.91534275 
 01/02  14:00:00,335953142.68625057,335953142.6862506,26445698.458229795 
 01/02  15:00:00,320911014.9445321,320911014.9445321,20247303.655105125 
 01/02  16:00:00,319164066.6872377,319164066.68723774,20171244.426276952 
 01/02  17:00:00,332983902.6955825,332983902.6955826,20831758.95019327 
 01/02  18:00:00,252004838.67275542,252004838.67275542,15462740.011474118 
 01/02  19:00:00,163598131.91214836,163598131.9121484,11017745.091727361 
 01/02  20:00:00,144338217.33374834,144338217.3337484,10940572.19877801 
 01/02  21:00:00,130382217.17463326,130382217.17463326,10957765.309461117 
 01/02  22:00:00,123433888.09303951,123433888.09303951,6791184.0 
 01/02  23:00:00,77772782.75072592,77772782.75072592,6791184.0 
 01/02  24:00:00,72442469.3608459,72442469.36084588,6791184.0 
 01/03  01:00:00,58189365.04299053,58189365.04299053,6791184.0 
 01/03  02:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  03:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  04:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  05:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  06:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  07:00:00,117846646.34604317,117846646.34604318,6791184.0 
 01/03  08:00:00,172320967.18015772,172320967.18015772,6791184.0 
 01/03  09:00:00,351252158.47864777,351252158.4786477,6791184.0 
 01/03  10:00:00,322605003.2597691,322605003.2597691,6791184.0 
 01/03  11:00:00,319897023.92610145,319897023.9261015,20527776.689229637 
 01/03  12:00:00,328719954.22826517,328719954.22826517,25789649.79643507 
 01/03  13:00:00,317023186.64652985,317023186.6465299,31710588.732130073 
 01/03  14:00:00,322944679.2982652,322944679.2982653,27624136.376359127 
 01/03  15:00:00,304151758.94276685,304151758.94276685,19182540.90825281 
 01/03  16:00:00,304623791.957637,304623791.9576371,20167421.53868155 
 01/03  17:00:00,318083347.10999155,318083347.10999155,21150616.453555714 
 01/03  18:00:00,230477007.54488295,230477007.54488295,15156794.778487384 
 01/03  19:00:00,136461160.27868816,136461160.2786882,15288995.807703689 
 01/03  20:00:00,113884110.8209181,113884110.82091811,6791184.0 
 01/03  21:00:00,100940816.37318467,100940816.37318467,10967065.72714793 
 01/03  22:00:00,96287113.21615261,96287113.21615261,6791184.0 
 01/03  23:00:00,77772782.75072592,77772782.75072592,6791184.0 
 01/03  24:00:00,72442469.3608459,72442469.36084588,6791184.0 
 01/04  01:00:00,58189365.04299053,58189365.04299053,6791184.0 
 01/04  02:00:00,57609860.11373618,57609860.11373618,6791184.0 
