datetime,load_kw
 01/01  01:00:00,12.877498485866441
 01/01  02:00:00,12.877565474876649
 01/01  03:00:00,12.877565474876649
 01/01  04:00:00,12.877565474876649
 01/01  05:00:00,12.877565474876649
 01/01  06:00:00,12.877565474876649
 01/01  07:00:00,18.308313007508215
 01/01  08:00:00,13.131231717740436
 01/01  09:00:00,12.95674370411853
 01/01  10:00:00,12.86468721106148
 01/01  11:00:00,12.858003476659123
 01/01  12:00:00,15.983363610852726
 01/01  13:00:00,18.902915321897538
 01/01  14:00:00,20.33736109689264
 01/01  15:00:00,19.15415731201193
 01/01  16:00:00,16.239283554495056
 01/01  17:00:00,12.908018881688022
 01/01  18:00:00,14.44984232740732
 01/01  19:00:00,15.916364687240193
 01/01  20:00:00,13.58461547487665
 01/01  21:00:00,13.58461547487665
 01/01  22:00:00,13.58461547487665
 01/01  23:00:00,13.58461547487665
 01/01  24:00:00,13.58461547487665
 01/02  01:00:00,16.002738920482273
 01/02  02:00:00,16.002738920482273
 01/02  03:00:00,16.002738920482273
 01/02  04:00:00,16.002738920482273
 01/02  05:00:00,16.002738920482273
 01/02  06:00:00,16.002738920482273
 01/02  07:00:00,30.182654778013667
 01/02  08:00:00,45.78958731392486
 01/02  09:00:00,95.34786453763854
 01/02  10:00:00,85.52544233782592
 01/02  11:00:00,85.03097321278622
 01/02  12:00:00,89.03925178227158
 01/02  13:00:00,89.04782388293015
 01/02  14:00:00,93.32031741284737
 01/02  15:00:00,89.14194859570335
 01/02  16:00:00,88.65668519089935
 01/02  17:00:00,92.4955285265507
 01/02  18:00:00,70.0013440757654
 01/02  19:00:00,45.443925531152324
 01/02  20:00:00,40.09394925937454
 01/02  21:00:00,36.21728254850924
 01/02  22:00:00,34.28719113695542
 01/02  23:00:00,21.603550764090535
 01/02  24:00:00,20.122908155790526
 01/03  01:00:00,16.163712511941814
 01/03  02:00:00,16.002738920482273
 01/03  03:00:00,16.002738920482273
 01/03  04:00:00,16.002738920482273
 01/03  05:00:00,16.002738920482273
 01/03  06:00:00,16.002738920482273
 01/03  07:00:00,32.73517954056754
 01/03  08:00:00,47.86693532782159
 01/03  09:00:00,97.5700440218466
 01/03  10:00:00,89.61250090549142
 01/03  11:00:00,88.86028442391707
 01/03  12:00:00,91.31109839674033
 01/03  13:00:00,88.06199629070274
 01/03  14:00:00,89.70685536062923
 01/03  15:00:00,84.48659970632413
 01/03  16:00:00,84.61771998823251
 01/03  17:00:00,88.35648530833099
 01/03  18:00:00,64.0213909846897
 01/03  19:00:00,37.90587785519116
 01/03  20:00:00,31.634475228032805
 01/03  21:00:00,28.039115659217966
 01/03  22:00:00,26.746420337820165
 01/03  23:00:00,21.603550764090535
 01/03  24:00:00,20.122908155790526
 01/04  01:00:00,16.163712511941814
 01/04  02:00:00,16.002738920482273
 01/04  03:00:00,16.002738920482273
 01/04  04:00:00,16.002738920482273
 01/04  05:00:00,16.002738920482273
 01/04  06:00:00,16.002738920482273
 01/04  07:00:00,25.48406768678151
 01/04  08:00:00,40.35299458557747
 01/04  09:00:00,83.33048891375311
 01/04  10:00:00,75.57317430378544
 01/04  11:00:00,74.27174640224243
 01/04  12:00:00,77.61197455426236
 01/04  13:00:00,78.69317029019913
 01/04  14:00:00,84.72735824792399
 01/04  15:00:00,82.44825510247146
 01/04  16:00:00,82.92670433788923
 01/04  17:00:00,84.1221175820024
 01/04  18:00:00,60.42990759886391
 01/04  19:00:00,36.18303730402216
 01/04  20:00:00,31.037183380649275
 01/04  21:00:00,28.037987985801934
 01/04  22:00:00,26.746420337820165
 01/04  23:00:00,21.603550764090535
 01/04  24:00:00,20.122908155790526
 01/05  01:00:00,16.163712511941814
 01/05  02:00:00,16.002738920482273
 01/05  03:00:00,16.002738920482273
 01/05  04:00:00,16.002738920482273
 01/05  05:00:00,16.002738920482273
 01/05  06:00:00,16.002738920482273
 01/05  07:00:00,25.48406768678151
 01/05  08:00:00,40.28421656124587
 01/05  09:00:00,84.17184599289389
 01/05  10:00:00,76.53319198133435
 01/05  11:00:00,74.91133338574201
 01/05  12:00:00,79.09055242762597
 01/05  13:00:00,80.36482006076648
 01/05  14:00:00,86.46794145471289
 01/05  15:00:00,83.59098344258908
 01/05  16:00:00,84.48274694467455
 01/05  17:00:00,85.50538482293166
 01/05  18:00:00,60.20094904481189
 01/05  19:00:00,36.05075443928849
 01/05  20:00:00,31.1438327523094
 01/05  21:00:00,28.096808705886676
 01/05  22:00:00,26.746420337820165
 01/05  23:00:00,21.603550764090535
 01/05  24:00:00,20.122908155790526
 01/06  01:00:00,16.163712511941814
 01/06  02:00:00,16.002738920482273
 01/06  03:00:00,16.002738920482273
 01/06  04:00:00,16.002738920482273
 01/06  05:00:00,16.002738920482273
 01/06  06:00:00,16.002738920482273
 01/06  07:00:00,25.48406768678151
 01/06  08:00:00,39.921745020560344
 01/06  09:00:00,84.45199435182124
 01/06  10:00:00,76.96599301188158
 01/06  11:00:00,75.32468962745456
