battery_kwh,reliability,ens_kwh,lolp
0,0.7322373794627371,129677.36351095876,0.5441780821917809
10,0.7379730837305492,126899.56351095877,0.5441780821917809
20,0.743708787998361,124121.76351095879,0.5402968036529681
30,0.7494444922661729,121343.96351095878,0.5356164383561643
40,0.7551801965339849,118566.16351095878,0.5277397260273973
50,0.7609159008017968,115788.36351095879,0.5226027397260274
60,0.7666516050696088,113010.56351095877,0.5157534246575343
70,0.7723873093374207,110232.76351095879,0.5077625570776255
80,0.7781230136052327,107454.96351095878,0.49897260273972605
90,0.7838587178730447,104677.16351095878,0.48550228310502286
100,0.7895944221408566,101899.36351095879,0.47214611872146117
110,0.7953301264086686,99121.56351095879,0.4593607305936073
120,0.8010632651304816,96345.00600418074,0.4511415525114155
130,0.8067832766369589,93574.80600418075,0.4397260273972603
140,0.8125032881434362,90804.60600418075,0.4312785388127854
150,0.8182232996499136,88034.40600418075,0.4218036529680365
160,0.8239433111563909,85264.20600418074,0.4123287671232877
170,0.8296633226628682,82494.00600418074,0.401027397260274
180,0.8353833341693455,79723.80600418075,0.386986301369863
190,0.8411033456758228,76953.60600418075,0.3776255707762557
200,0.8468233571823001,74183.40600418075,0.3670091324200913
210,0.8525433686887774,71413.20600418074,0.3547945205479452
220,0.8582633801952547,68643.00600418074,0.3447488584474886
230,0.8639467328605118,65890.55987090518,0.3343607305936073
240,0.8693807335507489,63258.87483057823,0.3234018264840183
250,0.8746244988934916,60719.32071674183,0.31461187214611874
260,0.8795764786901447,58321.078262656854,0.3055936073059361
270,0.8842764753444727,56044.8711751229,0.29668949771689496
280,0.8888876393372722,53811.68572114469,0.2897260273972603
290,0.8934292524297256,51612.18374908265,0.2825342465753425
300,0.8979103915110234,49441.96932399733,0.27351598173515984
310,0.9023411923577105,47296.13369209456,0.266324200913242
320,0.9067484064401738,45161.72112362079,0.25810502283105025
330,0.9111415796115294,43034.10856453622,0.24874429223744293
340,0.9155041672625601,40921.308564536215,0.23995433789954337
350,0.9198528228048312,38815.25588097822,0.2295662100456621
360,0.9241586639763595,36729.938185400075,0.21940639269406392
370,0.9284270950593824,34662.73818540008,0.20753424657534247
380,0.9326856512934014,32600.32057205776,0.19623287671232878
390,0.9369280392297583,30545.733260828092,0.18470319634703197
400,0.941101269690663,28524.63889594667,0.17134703196347031
410,0.9451869781530642,26545.931410878315,0.15924657534246575
420,0.949241204375374,24582.47076603092,0.14726027397260275
430,0.9531053133347552,22711.08385935139,0.13378995433789953
440,0.9567680121386989,20937.239835577107,0.12146118721461187
450,0.9603042896416256,19224.62161312873,0.10947488584474886
460,0.9636928557586241,17583.53997427549,0.09840182648401827
470,0.966903223983135,16028.75952576251,0.08767123287671233
480,0.969928601583581,14563.569985625241,0.07751141552511416
490,0.9727873949219332,13179.057157821384,0.0682648401826484
500,0.975534123751612,11848.817140758529,0.06015981735159817
510,0.978087546176454,10612.195362412946,0.05182648401826484
520,0.9805052018219713,9441.325397968256,0.0454337899543379
530,0.9827690811801534,8344.929247202817,0.039383561643835614
540,0.9848948088431865,7315.439924416294,0.0341324200913242
550,0.9868965774040022,6345.983960753997,0.029908675799086758
560,0.988730014257779,5458.0509965316,0.02636986301369863
570,0.990415534187932,4641.754157753788,0.022488584474885845
580,0.991894925345787,3925.2854267295293,0.018835616438356163
590,0.9931641770717574,3310.5871647939507,0.01632420091324201
600,0.9943094208319795,2755.9459265771306,0.0136986301369863
610,0.9953267443451541,2263.256428836573,0.011986301369863013
620,0.996200950326349,1839.8787124869357,0.00993150684931507
630,0.9969195026433377,1491.8840229188845,0.008333333333333333
640,0.9974637325674471,1228.3136202963333,0.006621004566210046
650,0.997874584624027,1029.3380822491292,0.0058219178082191785
660,0.998213772770156,865.0693563309421,0.004794520547945206
670,0.9984588470479139,746.3799509903789,0.0038812785388127853
680,0.9986336356476013,661.7298802159089,0.0028538812785388126
690,0.9987535962381004,603.6329992176094,0.002397260273972603
700,0.9988575859017619,553.2708336959897,0.0021689497716894978
710,0.9989487193866317,509.1349120286305,0.0019406392694063927
720,0.999021300116249,473.9840846293382,0.0018264840182648401
730,0.9990840711615876,443.58408462933824,0.0018264840182648401
740,0.9991468422069262,413.18408462933826,0.0018264840182648401
750,0.9991934026810831,390.6348597958829,0.0014840182648401827
760,0.9992247882037524,375.4348597958829,0.0014840182648401827
770,0.9992561737264216,360.23485979588287,0.0014840182648401827
780,0.999287559249091,345.0348597958829,0.0013698630136986301
790,0.9993189447717602,329.83485979588283,0.0013698630136986301
800,0.9993503302944295,314.63485979588285,0.0013698630136986301
810,0.999379417299607,300.5480311852563,0.0012557077625570776
820,0.9993951100609416,292.94803118525635,0.0012557077625570776
830,0.9994108028222762,285.34803118525645,0.0012557077625570776
840,0.9994264955836109,277.74803118525654,0.0012557077625570776
850,0.9994421883449456,270.14803118525657,0.0012557077625570776
860,0.9994578811062802,262.54803118525655,0.0012557077625570776
870,0.9994735738676148,254.94803118525655,0.001141552511415525
880,0.9994892666289494,247.34803118525656,0.001141552511415525
890,0.9995049593902842,239.74803118525656,0.001141552511415525
900,0.9995206521516188,232.14803118525657,0.001141552511415525
