Date,HKO_RH,KP_GSR,KP_RF,KP_RH,KP_WSPD
2025-01-01,73,5.59,0.0,73,10.7
2025-01-02,69,10.61,0.0,69,5.9
2025-01-03,42,16.70,0.0,35,11.4
2025-01-04,66,15.81,0.0,64,10.3
2025-01-05,62,12.97,0.3,58,5.2
2025-01-06,52,17.33,0.0,47,8.3
2025-01-07,65,14.10,0.0,65,11.9
2025-01-08,67,13.49,0.0,65,11.0
2025-01-09,66,16.15,0.0,62,8.2
2025-01-10,45,16.74,0.0,37,10.8
2025-01-11,43,16.52,0.0,34,10.2
2025-01-12,41,19.00,0.0,31,9.7
2025-01-13,55,17.93,0.0,51,8.7
2025-01-14,57,8.23,0.0,56,9.7
2025-01-15,49,17.15,0.0,43,10.6
2025-01-16,48,16.27,0.0,43,9.0
2025-01-17,53,17.88,0.0,48,9.6
2025-01-18,59,17.22,0.0,57,7.6
2025-01-19,60,17.67,0.0,57,3.7
2025-01-20,59,17.65,0.0,57,6.6
2025-01-21,59,13.03,0.3,55,11.5
2025-01-22,67,10.40,0.5,66,9.6
2025-01-23,80,8.54,2.2,81,6.5
2025-01-24,72,17.78,0.0,72,15.8
2025-01-25,77,14.55,0.0,77,14.9
2025-01-26,72,2.51,0.0,72,11.0
2025-01-27,40,19.96,0.0,34,12.2
2025-01-28,40,20.12,0.0,36,8.0
2025-01-29,54,16.52,0.0,52,11.8
2025-01-30,66,17.57,0.0,65,13.5
2025-01-31,63,13.37,0.0,62,11.8
2025-02-01,86,11.47,0.0,87,8.0
2025-02-02,86,6.72,0.0,87,10.3
2025-02-03,74,7.11,0.0,73,9.5
2025-02-04,61,18.63,0.0,59,9.8
2025-02-05,65,16.35,0.0,64,10.0
2025-02-06,57,11.09,0.0,55,9.3
2025-02-07,63,6.65,0.0,61,9.2
2025-02-08,43,14.19,0.0,37,10.1
2025-02-09,46,20.86,0.0,41,9.9
2025-02-10,63,20.33,0.0,62,11.4
2025-02-11,71,12.95,0.0,70,12.2
2025-02-12,93,5.11,26.3,95,5.9
2025-02-13,79,6.49,0.1,77,9.0
2025-02-14,87,9.65,0.3,88,9.5
2025-02-15,83,11.89,0.0,84,6.5
2025-02-16,81,18.21,0.0,81,5.4
2025-02-17,70,19.97,0.0,69,13.7
2025-02-18,71,18.12,0.0,71,13.8
2025-02-19,75,9.25,0.0,75,12.4
2025-02-20,79,10.62,0.0,79,14.6
2025-02-21,82,5.78,0.0,83,10.8
2025-02-22,80,7.84,0.0,80,10.2
2025-02-23,73,7.88,0.0,71,9.4
2025-02-24,67,15.81,0.0,66,12.4
2025-02-25,70,7.50,0.0,69,7.3
2025-02-26,76,10.36,0.7,75,7.0
2025-02-27,76,20.64,0.0,77,10.9
2025-02-28,77,19.85,0.0,76,6.3
2025-03-01,87,7.30,0.0,89,8.0
2025-03-02,87,13.18,0.0,88,6.8
2025-03-03,84,15.03,0.0,86,6.7
2025-03-04,85,7.63,0.0,86,5.5
2025-03-05,89,3.37,0.8,92,14.3
2025-03-06,83,3.32,12.4,80,10.3
2025-03-07,84,4.50,6.0,81,7.9
2025-03-08,72,16.50,0.0,71,6.2
2025-03-09,68,20.79,0.0,67,12.1
2025-03-10,70,16.09,0.0,69,11.6
2025-03-11,75,12.40,0.0,75,8.4
2025-03-12,86,5.87,3.3,86,6.0
2025-03-13,82,17.35,0.0,82,4.4
2025-03-14,90,9.67,0.0,92,9.8
2025-03-15,88,15.38,12.2,88,9.5
2025-03-16,57,18.99,0.0,52,14.4
2025-03-17,53,9.29,0.0,48,10.9
2025-03-18,52,11.06,0.0,49,7.8
2025-03-19,54,23.81,0.0,50,7.6
2025-03-20,61,24.11,0.0,59,9.3
2025-03-21,57,23.99,0.0,56,7.1
2025-03-22,60,24.33,0.0,59,5.1
2025-03-23,61,23.72,0.0,62,3.8
2025-03-24,60,23.20,0.0,58,5.4
2025-03-25,61,23.11,0.0,60,5.9
2025-03-26,77,21.21,0.0,78,7.5
2025-03-27,78,11.05,0.0,79,6.9
2025-03-28,86,11.02,2.0,88,9.1
2025-03-29,83,2.66,0.8,83,11.0
2025-03-30,82,5.66,2.0,81,9.0
2025-03-31,82,3.48,0.1,81,6.1
2025-04-01,67,16.61,0.0,65,6.3
2025-04-02,63,21.40,0.0,60,6.5
2025-04-03,57,22.68,0.0,53,7.7
2025-04-04,72,10.52,0.0,70,12.2
2025-04-05,90,2.18,7.6,89,5.7
2025-04-06,74,9.68,0.0,72,3.6
2025-04-07,64,22.85,0.0,61,8.9
2025-04-08,72,18.34,0.0,72,7.2
2025-04-09,77,20.19,0.0,77,6.0
2025-04-10,80,17.50,0.0,81,6.6
2025-04-11,85,8.96,0.0,87,5.5
2025-04-12,81,4.07,8.0,81,12.1
2025-04-13,32,13.74,0.0,27,10.4
2025-04-14,49,24.02,0.0,48,8.0
2025-04-15,48,26.74,0.0,46,8.7
2025-04-16,73,26.23,0.0,75,12.1
2025-04-17,78,19.09,0.0,80,7.4
2025-04-18,90,3.56,5.0,93,7.3
2025-04-19,86,7.49,0.1,87,8.0
2025-04-20,79,24.12,0.0,81,7.1
2025-04-21,79,14.77,0.0,80,8.6
2025-04-22,78,19.25,0.0,79,8.8
2025-04-23,77,22.99,0.0,79,9.4
2025-04-24,78,16.58,0.0,79,8.3
2025-04-25,88,5.73,26.8,90,7.1
2025-04-26,85,7.80,0.0,87,16.0
2025-04-27,92,7.07,0.6,94,12.9
2025-04-28,85,12.84,13.9,85,4.2
2025-04-29,64,24.17,0.0,63,13.8
2025-04-30,75,21.24,0.0,77,9.2
2025-05-01,83,12.62,1.6,84,5.1
2025-05-02,75,26.34,0.0,75,8.7
2025-05-03,81,13.32,0.0,82,6.3
2025-05-04,81,18.85,0.0,83,7.7
2025-05-05,79,15.39,0.0,81,8.3
2025-05-06,82,11.83,0.4,83,7.4
2025-05-07,88,4.99,12.4,90,8.3
2025-05-08,87,15.35,1.3,89,12.0
2025-05-09,83,11.48,0.8,83,6.3
2025-05-10,76,12.91,0.0,75,5.6
2025-05-11,57,21.18,3.6,53,10.3
2025-05-12,54,27.86,0.0,53,9.7
2025-05-13,72,22.17,0.0,74,11.0
2025-05-14,78,22.15,0.0,80,8.9
2025-05-15,78,26.83,0.0,81,12.2
2025-05-16,83,12.33,0.0,85,10.6
2025-05-17,77,17.79,0.0,80,7.1
2025-05-18,77,22.66,0.0,79,8.0
2025-05-19,78,9.96,0.0,80,6.8
2025-05-20,77,11.87,0.0,78,8.2
2025-05-21,76,13.50,0.0,76,7.3
2025-05-22,74,22.25,0.0,75,8.3
2025-05-23,77,21.72,2.1,78,9.1
2025-05-24,76,10.44,7.2,75,7.4
2025-05-25,65,7.95,0.0,64,9.8
2025-05-26,63,12.26,0.0,63,9.3
2025-05-27,67,20.46,0.0,68,12.5
2025-05-28,82,7.17,0.0,85,12.7
2025-05-29,90,8.62,57.5,92,9.7
2025-05-30,88,6.62,2.0,89,14.1
2025-05-31,82,4.69,0.0,83,12.4
2025-06-01,83,23.24,0.1,85,8.4
2025-06-02,83,13.54,0.0,84,7.8
2025-06-03,81,12.65,0.0,82,7.3
2025-06-04,86,3.97,3.3,88,11.0
2025-06-05,78,13.70,0.0,79,11.0
2025-06-06,79,22.39,0.0,79,7.1
2025-06-07,76,26.52,0.0,78,6.9
2025-06-08,76,26.85,0.0,79,8.3
2025-06-09,73,27.46,0.0,76,8.3
2025-06-10,72,27.55,0.0,73,11.3
2025-06-11,80,12.67,4.5,83,16.5
2025-06-12,83,16.29,15.0,86,16.2
2025-06-13,88,12.72,50.9,91,8.1
2025-06-14,81,13.09,1.7,82,16.6
2025-06-15,79,9.70,3.2,82,17.0
2025-06-16,80,12.60,2.2,83,8.5
2025-06-17,88,4.42,48.0,90,8.4
2025-06-18,80,17.53,0.3,82,9.7
2025-06-19,83,17.49,13.2,85,8.7
2025-06-20,82,12.57,10.6,85,7.2
2025-06-21,80,19.29,9.8,81,8.7
2025-06-22,80,16.41,11.6,82,7.1
2025-06-23,76,23.32,1.0,78,9.0
2025-06-24,73,23.86,0.0,76,9.1
2025-06-25,72,28.77,0.0,75,9.3
2025-06-26,84,11.27,47.2,86,10.0
2025-06-27,86,8.53,7.4,86,7.5
2025-06-28,84,13.30,4.6,85,8.3
2025-06-29,83,15.07,5.8,85,9.0
2025-06-30,84,11.76,20.3,85,10.8
2025-07-01,87,11.55,4.6,88,10.0
2025-07-02,80,26.58,1.9,81,11.0
2025-07-03,76,20.83,0.0,77,10.0
2025-07-04,71,26.58,0.0,72,9.7
2025-07-05,71,19.27,0.5,71,10.5
2025-07-06,71,22.11,0.0,70,8.3
2025-07-07,77,25.42,0.0,78,9.9
2025-07-08,76,19.41,0.0,78,10.0
2025-07-09,77,19.04,22.2,79,9.5
2025-07-10,93,1.65,103.6,95,6.3
2025-07-11,84,13.26,0.0,85,6.2
2025-07-12,87,12.85,5.5,86,5.9
2025-07-13,81,19.89,1.1,82,6.3
2025-07-14,79,23.29,3.4,80,7.8
2025-07-15,79,14.64,0.7,82,8.9
2025-07-16,75,26.84,0.0,78,9.9
2025-07-17,76,26.05,0.0,79,9.4
2025-07-18,85,6.38,23.3,86,7.4
2025-07-19,78,17.46,10.8,77,7.1
2025-07-20,91,2.57,113.4,92,25.1
2025-07-21,92,4.79,40.1,93,8.7
2025-07-22,88,13.17,82.2,90,11.8
2025-07-23,81,21.15,2.4,82,9.2
2025-07-24,77,16.26,0.0,77,6.8
2025-07-25,78,21.40,37.9,79,8.6
