-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
21.0,113.125,2025,1,1,20.17
21.0,113.75,2025,1,1,20.12
21.0,114.375,2025,1,1,20.15
21.0,115.0,2025,1,1,20.3
21.0,115.625,2025,1,1,20.45
21.5,113.125,2025,1,1,18.51
21.5,113.75,2025,1,1,19.14
21.5,114.375,2025,1,1,19.37
21.5,115.0,2025,1,1,19.55
21.5,115.625,2025,1,1,19.67
22.0,113.125,2025,1,1,16.72
22.0,113.75,2025,1,1,17.98
22.0,114.375,2025,1,1,18.05
22.0,115.0,2025,1,1,18.4
22.0,115.625,2025,1,1,18.65
22.5,113.125,2025,1,1,16.0
22.5,113.75,2025,1,1,16.99
22.5,114.375,2025,1,1,16.4
22.5,115.0,2025,1,1,16.79
22.5,115.625,2025,1,1,16.66
23.0,113.125,2025,1,1,15.5
23.0,113.75,2025,1,1,16.37
23.0,114.375,2025,1,1,15.6
23.0,115.0,2025,1,1,15.06
23.0,115.625,2025,1,1,14.94
23.5,113.125,2025,1,1,14.44
23.5,113.75,2025,1,1,13.95
23.5,114.375,2025,1,1,14.32
23.5,115.0,2025,1,1,14.8
23.5,115.625,2025,1,1,14.19
21.0,113.125,2025,1,2,20.19
21.0,113.75,2025,1,2,20.15
21.0,114.375,2025,1,2,20.38
21.0,115.0,2025,1,2,20.54
21.0,115.625,2025,1,2,20.53
21.5,113.125,2025,1,2,19.03
21.5,113.75,2025,1,2,19.24
21.5,114.375,2025,1,2,19.85
21.5,115.0,2025,1,2,20.25
21.5,115.625,2025,1,2,20.34
22.0,113.125,2025,1,2,17.77
22.0,113.75,2025,1,2,18.73
22.0,114.375,2025,1,2,18.93
22.0,115.0,2025,1,2,19.46
22.0,115.625,2025,1,2,19.82
22.5,113.125,2025,1,2,16.89
22.5,113.75,2025,1,2,18.19
22.5,114.375,2025,1,2,17.82
22.5,115.0,2025,1,2,18.44
22.5,115.625,2025,1,2,18.15
23.0,113.125,2025,1,2,16.44
23.0,113.75,2025,1,2,16.82
23.0,114.375,2025,1,2,16.37
23.0,115.0,2025,1,2,16.45
23.0,115.625,2025,1,2,17.27
23.5,113.125,2025,1,2,15.61
23.5,113.75,2025,1,2,14.82
23.5,114.375,2025,1,2,14.62
23.5,115.0,2025,1,2,14.62
23.5,115.625,2025,1,2,14.63
21.0,113.125,2025,1,3,20.06
21.0,113.75,2025,1,3,20.16
21.0,114.375,2025,1,3,20.6
21.0,115.0,2025,1,3,20.82
21.0,115.625,2025,1,3,20.76
21.5,113.125,2025,1,3,18.66
21.5,113.75,2025,1,3,19.15
21.5,114.375,2025,1,3,19.81
21.5,115.0,2025,1,3,20.35
21.5,115.625,2025,1,3,20.44
22.0,113.125,2025,1,3,16.49
22.0,113.75,2025,1,3,18.32
22.0,114.375,2025,1,3,18.48
22.0,115.0,2025,1,3,19.41
22.0,115.625,2025,1,3,19.73
22.5,113.125,2025,1,3,15.13
22.5,113.75,2025,1,3,16.86
22.5,114.375,2025,1,3,16.21
22.5,115.0,2025,1,3,17.53
22.5,115.625,2025,1,3,17.97
23.0,113.125,2025,1,3,14.57
23.0,113.75,2025,1,3,15.02
23.0,114.375,2025,1,3,14.3
23.0,115.0,2025,1,3,14.6
23.0,115.625,2025,1,3,15.41
23.5,113.125,2025,1,3,13.54
23.5,113.75,2025,1,3,12.95
23.5,114.375,2025,1,3,12.78
23.5,115.0,2025,1,3,12.64
23.5,115.625,2025,1,3,13.05
21.0,113.125,2025,1,4,19.35
21.0,113.75,2025,1,4,19.47
21.0,114.375,2025,1,4,19.68
21.0,115.0,2025,1,4,20.04
21.0,115.625,2025,1,4,20.38
21.5,113.125,2025,1,4,17.96
21.5,113.75,2025,1,4,18.54
21.5,114.375,2025,1,4,18.97
21.5,115.0,2025,1,4,19.28
