-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M
21.0,113.125,2025,1,1,80.56
21.0,113.75,2025,1,1,81.88
21.0,114.375,2025,1,1,82.75
21.0,115.0,2025,1,1,82.97
21.0,115.625,2025,1,1,82.66
21.5,113.125,2025,1,1,81.58
21.5,113.75,2025,1,1,83.01
21.5,114.375,2025,1,1,82.77
21.5,115.0,2025,1,1,83.51
21.5,115.625,2025,1,1,83.62
22.0,113.125,2025,1,1,76.96
22.0,113.75,2025,1,1,81.47
22.0,114.375,2025,1,1,82.93
22.0,115.0,2025,1,1,83.82
22.0,115.625,2025,1,1,84.39
22.5,113.125,2025,1,1,66.1
22.5,113.75,2025,1,1,72.76
22.5,114.375,2025,1,1,77.75
22.5,115.0,2025,1,1,81.23
22.5,115.625,2025,1,1,82.13
23.0,113.125,2025,1,1,59.04
23.0,113.75,2025,1,1,54.26
23.0,114.375,2025,1,1,65.36
23.0,115.0,2025,1,1,72.84
23.0,115.625,2025,1,1,76.83
23.5,113.125,2025,1,1,58.53
23.5,113.75,2025,1,1,57.02
23.5,114.375,2025,1,1,59.19
23.5,115.0,2025,1,1,62.04
23.5,115.625,2025,1,1,71.56
21.0,113.125,2025,1,2,77.1
21.0,113.75,2025,1,2,78.2
21.0,114.375,2025,1,2,78.77
21.0,115.0,2025,1,2,80.61
21.0,115.625,2025,1,2,83.07
21.5,113.125,2025,1,2,77.39
21.5,113.75,2025,1,2,78.01
21.5,114.375,2025,1,2,76.59
21.5,115.0,2025,1,2,77.01
21.5,115.625,2025,1,2,79.44
22.0,113.125,2025,1,2,74.43
22.0,113.75,2025,1,2,75.32
22.0,114.375,2025,1,2,74.8
22.0,115.0,2025,1,2,74.82
22.0,115.625,2025,1,2,76.71
22.5,113.125,2025,1,2,67.38
22.5,113.75,2025,1,2,68.35
22.5,114.375,2025,1,2,68.48
22.5,115.0,2025,1,2,70.57
22.5,115.625,2025,1,2,74.77
23.0,113.125,2025,1,2,60.31
23.0,113.75,2025,1,2,59.73
23.0,114.375,2025,1,2,61.76
23.0,115.0,2025,1,2,64.01
23.0,115.625,2025,1,2,65.34
23.5,113.125,2025,1,2,58.33
23.5,113.75,2025,1,2,58.95
23.5,114.375,2025,1,2,58.0
23.5,115.0,2025,1,2,60.78
23.5,115.625,2025,1,2,67.41
21.0,113.125,2025,1,3,63.86
21.0,113.75,2025,1,3,68.36
21.0,114.375,2025,1,3,70.63
21.0,115.0,2025,1,3,72.21
21.0,115.625,2025,1,3,73.47
21.5,113.125,2025,1,3,62.69
21.5,113.75,2025,1,3,63.96
21.5,114.375,2025,1,3,67.96
21.5,115.0,2025,1,3,70.48
21.5,115.625,2025,1,3,72.23
22.0,113.125,2025,1,3,61.93
22.0,113.75,2025,1,3,61.85
22.0,114.375,2025,1,3,64.79
22.0,115.0,2025,1,3,68.34
22.0,115.625,2025,1,3,71.8
22.5,113.125,2025,1,3,56.26
22.5,113.75,2025,1,3,58.78
22.5,114.375,2025,1,3,60.3
22.5,115.0,2025,1,3,66.71
22.5,115.625,2025,1,3,69.31
23.0,113.125,2025,1,3,52.75
23.0,113.75,2025,1,3,49.44
23.0,114.375,2025,1,3,53.47
23.0,115.0,2025,1,3,55.71
23.0,115.625,2025,1,3,62.06
23.5,113.125,2025,1,3,52.91
23.5,113.75,2025,1,3,53.74
23.5,114.375,2025,1,3,52.44
23.5,115.0,2025,1,3,54.08
23.5,115.625,2025,1,3,56.21
21.0,113.125,2025,1,4,74.37
21.0,113.75,2025,1,4,75.21
21.0,114.375,2025,1,4,76.92
21.0,115.0,2025,1,4,78.85
21.0,115.625,2025,1,4,80.45
21.5,113.125,2025,1,4,72.92
21.5,113.75,2025,1,4,73.46
21.5,114.375,2025,1,4,74.97
21.5,115.0,2025,1,4,77.47
21.5,115.625,2025,1,4,79.95
22.0,113.125,2025,1,4,69.91
22.0,113.75,2025,1,4,71.33
22.0,114.375,2025,1,4,72.39
22.0,115.0,2025,1,4,74.77
22.0,115.625,2025,1,4,78.62
22.5,113.125,2025,1,4,61.0
22.5,113.75,2025,1,4,65.94
22.5,114.375,2025,1,4,69.24
22.5,115.0,2025,1,4,70.46
22.5,115.625,2025,1,4,74.47
23.0,113.125,2025,1,4,54.97
23.0,113.75,2025,1,4,54.14
23.0,114.375,2025,1,4,60.65
23.0,115.0,2025,1,4,67.76
23.0,115.625,2025,1,4,69.64
23.5,113.125,2025,1,4,54.48
23.5,113.75,2025,1,4,55.52
23.5,114.375,2025,1,4,56.54
23.5,115.0,2025,1,4,59.25
23.5,115.625,2025,1,4,66.41
21.0,113.125,2025,1,5,75.91
21.0,113.75,2025,1,5,77.87
21.0,114.375,2025,1,5,76.86
21.0,115.0,2025,1,5,77.06
21.0,115.625,2025,1,5,78.41
21.5,113.125,2025,1,5,74.14
21.5,113.75,2025,1,5,77.24
21.5,114.375,2025,1,5,74.01
21.5,115.0,2025,1,5,73.87
21.5,115.625,2025,1,5,75.01
22.0,113.125,2025,1,5,70.22
22.0,113.75,2025,1,5,74.68
22.0,114.375,2025,1,5,72.5
22.0,115.0,2025,1,5,70.79
22.0,115.625,2025,1,5,72.0
22.5,113.125,2025,1,5,61.84
22.5,113.75,2025,1,5,68.82
22.5,114.375,2025,1,5,66.79
22.5,115.0,2025,1,5,68.5
22.5,115.625,2025,1,5,71.34
23.0,113.125,2025,1,5,57.19
23.0,113.75,2025,1,5,58.38
23.0,114.375,2025,1,5,60.77
23.0,115.0,2025,1,5,62.94
23.0,115.625,2025,1,5,65.55
23.5,113.125,2025,1,5,57.97
23.5,113.75,2025,1,5,60.9
23.5,114.375,2025,1,5,58.97
23.5,115.0,2025,1,5,59.47
23.5,115.625,2025,1,5,63.97
21.0,113.125,2025,1,6,73.6
21.0,113.75,2025,1,6,74.22
21.0,114.375,2025,1,6,73.62
21.0,115.0,2025,1,6,73.88
21.0,115.625,2025,1,6,74.64
21.5,113.125,2025,1,6,71.8
21.5,113.75,2025,1,6,72.97
21.5,114.375,2025,1,6,71.97
21.5,115.0,2025,1,6,73.04
21.5,115.625,2025,1,6,75.06
22.0,113.125,2025,1,6,68.38
22.0,113.75,2025,1,6,70.46
22.0,114.375,2025,1,6,71.19
22.0,115.0,2025,1,6,71.5
22.0,115.625,2025,1,6,74.48
22.5,113.125,2025,1,6,62.07
22.5,113.75,2025,1,6,65.51
22.5,114.375,2025,1,6,68.1
22.5,115.0,2025,1,6,70.07
22.5,115.625,2025,1,6,72.24
23.0,113.125,2025,1,6,57.02
23.0,113.75,2025,1,6,56.98
23.0,114.375,2025,1,6,60.62
23.0,115.0,2025,1,6,61.95
23.0,115.625,2025,1,6,66.34
23.5,113.125,2025,1,6,54.57
23.5,113.75,2025,1,6,58.29
23.5,114.375,2025,1,6,59.1
23.5,115.0,2025,1,6,58.94
23.5,115.625,2025,1,6,61.6
21.0,113.125,2025,1,7,76.03
21.0,113.75,2025,1,7,76.31
21.0,114.375,2025,1,7,78.14
21.0,115.0,2025,1,7,79.81
21.0,115.625,2025,1,7,81.36
21.5,113.125,2025,1,7,76.56
21.5,113.75,2025,1,7,74.54
21.5,114.375,2025,1,7,75.64
21.5,115.0,2025,1,7,77.53
21.5,115.625,2025,1,7,79.47
22.0,113.125,2025,1,7,78.04
22.0,113.75,2025,1,7,75.08
22.0,114.375,2025,1,7,74.36
22.0,115.0,2025,1,7,74.97
22.0,115.625,2025,1,7,77.64
22.5,113.125,2025,1,7,70.74
22.5,113.75,2025,1,7,74.67
22.5,114.375,2025,1,7,73.64
22.5,115.0,2025,1,7,73.3
22.5,115.625,2025,1,7,75.16
23.0,113.125,2025,1,7,63.27
23.0,113.75,2025,1,7,63.04
23.0,114.375,2025,1,7,68.04
23.0,115.0,2025,1,7,70.95
23.0,115.625,2025,1,7,71.79
23.5,113.125,2025,1,7,59.16
23.5,113.75,2025,1,7,64.08
23.5,114.375,2025,1,7,66.88
23.5,115.0,2025,1,7,66.81
23.5,115.625,2025,1,7,69.0
21.0,113.125,2025,1,8,77.03
21.0,113.75,2025,1,8,76.48
21.0,114.375,2025,1,8,75.61
21.0,115.0,2025,1,8,75.79
21.0,115.625,2025,1,8,76.31
21.5,113.125,2025,1,8,75.6
21.5,113.75,2025,1,8,75.16
21.5,114.375,2025,1,8,74.34
21.5,115.0,2025,1,8,74.79
21.5,115.625,2025,1,8,75.45
22.0,113.125,2025,1,8,73.0
22.0,113.75,2025,1,8,71.79
22.0,114.375,2025,1,8,72.29
22.0,115.0,2025,1,8,73.53
22.0,115.625,2025,1,8,76.31
22.5,113.125,2025,1,8,66.22
22.5,113.75,2025,1,8,68.3
22.5,114.375,2025,1,8,68.09
22.5,115.0,2025,1,8,70.65
22.5,115.625,2025,1,8,74.48
23.0,113.125,2025,1,8,60.5
23.0,113.75,2025,1,8,59.64
23.0,114.375,2025,1,8,63.19
23.0,115.0,2025,1,8,66.74
23.0,115.625,2025,1,8,69.72
23.5,113.125,2025,1,8,58.86
23.5,113.75,2025,1,8,60.54
23.5,114.375,2025,1,8,60.79
23.5,115.0,2025,1,8,63.88
23.5,115.625,2025,1,8,70.71
21.0,113.125,2025,1,9,73.16
21.0,113.75,2025,1,9,73.96
21.0,114.375,2025,1,9,74.99
21.0,115.0,2025,1,9,75.51
21.0,115.625,2025,1,9,76.17
21.5,113.125,2025,1,9,69.18
21.5,113.75,2025,1,9,71.3
21.5,114.375,2025,1,9,72.89
21.5,115.0,2025,1,9,75.14
21.5,115.625,2025,1,9,76.96
22.0,113.125,2025,1,9,63.54
22.0,113.75,2025,1,9,66.18
22.0,114.375,2025,1,9,69.53
22.0,115.0,2025,1,9,73.1
22.0,115.625,2025,1,9,77.3
22.5,113.125,2025,1,9,54.98
22.5,113.75,2025,1,9,58.97
22.5,114.375,2025,1,9,62.85
22.5,115.0,2025,1,9,68.43
22.5,115.625,2025,1,9,74.99
23.0,113.125,2025,1,9,50.83
23.0,113.75,2025,1,9,47.95
23.0,114.375,2025,1,9,53.3
23.0,115.0,2025,1,9,58.54
23.0,115.625,2025,1,9,66.2
23.5,113.125,2025,1,9,49.71
23.5,113.75,2025,1,9,48.82
