-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
21.0,113.125,2025,1,1,0.13
21.0,113.75,2025,1,1,0.11
21.0,114.375,2025,1,1,0.63
21.0,115.0,2025,1,1,3.21
21.0,115.625,2025,1,1,4.0
21.5,113.125,2025,1,1,0.07
21.5,113.75,2025,1,1,0.1
21.5,114.375,2025,1,1,0.72
21.5,115.0,2025,1,1,3.21
21.5,115.625,2025,1,1,4.31
22.0,113.125,2025,1,1,0.02
22.0,113.75,2025,1,1,0.04
22.0,114.375,2025,1,1,0.69
22.0,115.0,2025,1,1,3.04
22.0,115.625,2025,1,1,4.31
22.5,113.125,2025,1,1,0.0
22.5,113.75,2025,1,1,0.0
22.5,114.375,2025,1,1,0.37
22.5,115.0,2025,1,1,1.62
22.5,115.625,2025,1,1,1.66
23.0,113.125,2025,1,1,0.0
23.0,113.75,2025,1,1,0.0
23.0,114.375,2025,1,1,0.09
23.0,115.0,2025,1,1,0.22
23.0,115.625,2025,1,1,0.5
23.5,113.125,2025,1,1,0.0
23.5,113.75,2025,1,1,0.0
23.5,114.375,2025,1,1,0.01
23.5,115.0,2025,1,1,0.03
23.5,115.625,2025,1,1,0.04
21.0,113.125,2025,1,2,0.02
21.0,113.75,2025,1,2,0.03
21.0,114.375,2025,1,2,0.39
21.0,115.0,2025,1,2,2.15
21.0,115.625,2025,1,2,2.72
21.5,113.125,2025,1,2,0.0
21.5,113.75,2025,1,2,0.01
21.5,114.375,2025,1,2,0.16
21.5,115.0,2025,1,2,1.03
21.5,115.625,2025,1,2,1.84
22.0,113.125,2025,1,2,0.0
22.0,113.75,2025,1,2,0.0
22.0,114.375,2025,1,2,0.04
22.0,115.0,2025,1,2,0.23
22.0,115.625,2025,1,2,0.35
22.5,113.125,2025,1,2,0.0
22.5,113.75,2025,1,2,0.0
22.5,114.375,2025,1,2,0.01
22.5,115.0,2025,1,2,0.02
22.5,115.625,2025,1,2,0.04
23.0,113.125,2025,1,2,0.0
23.0,113.75,2025,1,2,0.0
23.0,114.375,2025,1,2,0.0
23.0,115.0,2025,1,2,0.0
23.0,115.625,2025,1,2,0.01
23.5,113.125,2025,1,2,0.0
23.5,113.75,2025,1,2,0.0
23.5,114.375,2025,1,2,0.0
23.5,115.0,2025,1,2,0.0
23.5,115.625,2025,1,2,0.0
21.0,113.125,2025,1,3,0.0
21.0,113.75,2025,1,3,0.0
21.0,114.375,2025,1,3,0.03
21.0,115.0,2025,1,3,0.22
21.0,115.625,2025,1,3,0.32
21.5,113.125,2025,1,3,0.0
21.5,113.75,2025,1,3,0.0
21.5,114.375,2025,1,3,0.01
21.5,115.0,2025,1,3,0.1
21.5,115.625,2025,1,3,0.24
22.0,113.125,2025,1,3,0.0
22.0,113.75,2025,1,3,0.0
22.0,114.375,2025,1,3,0.0
22.0,115.0,2025,1,3,0.02
22.0,115.625,2025,1,3,0.06
22.5,113.125,2025,1,3,0.0
22.5,113.75,2025,1,3,0.0
22.5,114.375,2025,1,3,0.0
22.5,115.0,2025,1,3,0.0
22.5,115.625,2025,1,3,0.01
23.0,113.125,2025,1,3,0.0
23.0,113.75,2025,1,3,0.0
23.0,114.375,2025,1,3,0.0
23.0,115.0,2025,1,3,0.0
23.0,115.625,2025,1,3,0.0
23.5,113.125,2025,1,3,0.0
23.5,113.75,2025,1,3,0.0
23.5,114.375,2025,1,3,0.0
23.5,115.0,2025,1,3,0.0
23.5,115.625,2025,1,3,0.0
21.0,113.125,2025,1,4,0.03
21.0,113.75,2025,1,4,0.03
21.0,114.375,2025,1,4,0.09
21.0,115.0,2025,1,4,0.34
21.0,115.625,2025,1,4,0.47
21.5,113.125,2025,1,4,0.03
21.5,113.75,2025,1,4,0.03
21.5,114.375,2025,1,4,0.08
21.5,115.0,2025,1,4,0.21
21.5,115.625,2025,1,4,0.26
22.0,113.125,2025,1,4,0.02
22.0,113.75,2025,1,4,0.03
22.0,114.375,2025,1,4,0.07
22.0,115.0,2025,1,4,0.17
22.0,115.625,2025,1,4,0.13
22.5,113.125,2025,1,4,0.0
22.5,113.75,2025,1,4,0.0
22.5,114.375,2025,1,4,0.04
22.5,115.0,2025,1,4,0.1
22.5,115.625,2025,1,4,0.1
23.0,113.125,2025,1,4,0.0
23.0,113.75,2025,1,4,0.0
23.0,114.375,2025,1,4,0.01
23.0,115.0,2025,1,4,0.01
23.0,115.625,2025,1,4,0.02
23.5,113.125,2025,1,4,0.0
23.5,113.75,2025,1,4,0.0
23.5,114.375,2025,1,4,0.0
23.5,115.0,2025,1,4,0.0
23.5,115.625,2025,1,4,0.0
21.0,113.125,2025,1,5,0.03
21.0,113.75,2025,1,5,0.04
21.0,114.375,2025,1,5,0.26
21.0,115.0,2025,1,5,1.02
21.0,115.625,2025,1,5,1.35
21.5,113.125,2025,1,5,0.03
21.5,113.75,2025,1,5,0.04
21.5,114.375,2025,1,5,0.22
21.5,115.0,2025,1,5,0.82
21.5,115.625,2025,1,5,1.02
22.0,113.125,2025,1,5,0.03
22.0,113.75,2025,1,5,0.04
22.0,114.375,2025,1,5,0.15
22.0,115.0,2025,1,5,0.54
22.0,115.625,2025,1,5,0.71
22.5,113.125,2025,1,5,0.04
22.5,113.75,2025,1,5,0.08
22.5,114.375,2025,1,5,0.07
22.5,115.0,2025,1,5,0.23
22.5,115.625,2025,1,5,0.24
23.0,113.125,2025,1,5,0.01
23.0,113.75,2025,1,5,0.0
23.0,114.375,2025,1,5,0.02
23.0,115.0,2025,1,5,0.02
23.0,115.625,2025,1,5,0.04
23.5,113.125,2025,1,5,0.0
23.5,113.75,2025,1,5,0.0
23.5,114.375,2025,1,5,0.0
23.5,115.0,2025,1,5,0.0
23.5,115.625,2025,1,5,0.0
21.0,113.125,2025,1,6,0.0
21.0,113.75,2025,1,6,0.0
21.0,114.375,2025,1,6,0.0
21.0,115.0,2025,1,6,0.01
21.0,115.625,2025,1,6,0.02
21.5,113.125,2025,1,6,0.0
21.5,113.75,2025,1,6,0.0
21.5,114.375,2025,1,6,0.0
21.5,115.0,2025,1,6,0.0
21.5,115.625,2025,1,6,0.01
22.0,113.125,2025,1,6,0.0
22.0,113.75,2025,1,6,0.0
22.0,114.375,2025,1,6,0.0
22.0,115.0,2025,1,6,0.0
22.0,115.625,2025,1,6,0.0
22.5,113.125,2025,1,6,0.0
22.5,113.75,2025,1,6,0.0
22.5,114.375,2025,1,6,0.0
22.5,115.0,2025,1,6,0.0
22.5,115.625,2025,1,6,0.0
23.0,113.125,2025,1,6,0.01
23.0,113.75,2025,1,6,0.01
23.0,114.375,2025,1,6,0.0
23.0,115.0,2025,1,6,0.0
23.0,115.625,2025,1,6,0.0
23.5,113.125,2025,1,6,0.0
23.5,113.75,2025,1,6,0.0
23.5,114.375,2025,1,6,0.0
23.5,115.0,2025,1,6,0.0
23.5,115.625,2025,1,6,0.0
21.0,113.125,2025,1,7,0.0
21.0,113.75,2025,1,7,0.0
21.0,114.375,2025,1,7,0.03
21.0,115.0,2025,1,7,0.39
21.0,115.625,2025,1,7,0.85
21.5,113.125,2025,1,7,0.0
21.5,113.75,2025,1,7,0.0
21.5,114.375,2025,1,7,0.01
21.5,115.0,2025,1,7,0.08
21.5,115.625,2025,1,7,0.16
22.0,113.125,2025,1,7,0.0
22.0,113.75,2025,1,7,0.0
22.0,114.375,2025,1,7,0.0
22.0,115.0,2025,1,7,0.01
22.0,115.625,2025,1,7,0.01
22.5,113.125,2025,1,7,0.0
22.5,113.75,2025,1,7,0.0
22.5,114.375,2025,1,7,0.0
22.5,115.0,2025,1,7,0.0
22.5,115.625,2025,1,7,0.0
23.0,113.125,2025,1,7,0.0
23.0,113.75,2025,1,7,0.0
23.0,114.375,2025,1,7,0.0
23.0,115.0,2025,1,7,0.0
23.0,115.625,2025,1,7,0.0
23.5,113.125,2025,1,7,0.0
23.5,113.75,2025,1,7,0.0
23.5,114.375,2025,1,7,0.0
23.5,115.0,2025,1,7,0.0
23.5,115.625,2025,1,7,0.0
21.0,113.125,2025,1,8,0.0
21.0,113.75,2025,1,8,0.0
21.0,114.375,2025,1,8,0.0
21.0,115.0,2025,1,8,0.06
21.0,115.625,2025,1,8,0.15
21.5,113.125,2025,1,8,0.0
21.5,113.75,2025,1,8,0.0
21.5,114.375,2025,1,8,0.0
21.5,115.0,2025,1,8,0.0
21.5,115.625,2025,1,8,0.01
22.0,113.125,2025,1,8,0.0
22.0,113.75,2025,1,8,0.0
22.0,114.375,2025,1,8,0.0
22.0,115.0,2025,1,8,0.0
22.0,115.625,2025,1,8,0.0
22.5,113.125,2025,1,8,0.0
22.5,113.75,2025,1,8,0.0
22.5,114.375,2025,1,8,0.0
22.5,115.0,2025,1,8,0.0
22.5,115.625,2025,1,8,0.0
23.0,113.125,2025,1,8,0.0
23.0,113.75,2025,1,8,0.0
23.0,114.375,2025,1,8,0.0
23.0,115.0,2025,1,8,0.0
23.0,115.625,2025,1,8,0.0
23.5,113.125,2025,1,8,0.0
23.5,113.75,2025,1,8,0.0
23.5,114.375,2025,1,8,0.0
23.5,115.0,2025,1,8,0.0
23.5,115.625,2025,1,8,0.0
21.0,113.125,2025,1,9,0.0
21.0,113.75,2025,1,9,0.0
21.0,114.375,2025,1,9,0.0
21.0,115.0,2025,1,9,0.0
21.0,115.625,2025,1,9,0.0
21.5,113.125,2025,1,9,0.0
21.5,113.75,2025,1,9,0.0
21.5,114.375,2025,1,9,0.0
21.5,115.0,2025,1,9,0.0
21.5,115.625,2025,1,9,0.0
22.0,113.125,2025,1,9,0.0
22.0,113.75,2025,1,9,0.0
22.0,114.375,2025,1,9,0.0
22.0,115.0,2025,1,9,0.0
22.0,115.625,2025,1,9,0.0
22.5,113.125,2025,1,9,0.0
22.5,113.75,2025,1,9,0.0
22.5,114.375,2025,1,9,0.0
22.5,115.0,2025,1,9,0.0
22.5,115.625,2025,1,9,0.0
23.0,113.125,2025,1,9,0.0
23.0,113.75,2025,1,9,0.0
23.0,114.375,2025,1,9,0.0
23.0,115.0,2025,1,9,0.0
23.0,115.625,2025,1,9,0.0
23.5,113.125,2025,1,9,0.0
23.5,113.75,2025,1,9,0.0
23.5,114.375,2025,1,9,0.0
23.5,115.0,2025,1,9,0.0
23.5,115.625,2025,1,9,0.0
21.0,113.125,2025,1,10,0.0
21.0,113.75,2025,1,10,0.0
21.0,114.375,2025,1,10,0.0
21.0,115.0,2025,1,10,0.06
21.0,115.625,2025,1,10,0.14
21.5,113.125,2025,1,10,0.0
21.5,113.75,2025,1,10,0.0
21.5,114.375,2025,1,10,0.0
21.5,115.0,2025,1,10,0.01
21.5,115.625,2025,1,10,0.02
22.0,113.125,2025,1,10,0.0
22.0,113.75,2025,1,10,0.0
22.0,114.375,2025,1,10,0.0
22.0,115.0,2025,1,10,0.0
22.0,115.625,2025,1,10,0.0
22.5,113.125,2025,1,10,0.0
22.5,113.75,2025,1,10,0.0
22.5,114.375,2025,1,10,0.0
22.5,115.0,2025,1,10,0.0
22.5,115.625,2025,1,10,0.0
23.0,113.125,2025,1,10,0.0
23.0,113.75,2025,1,10,0.0
23.0,114.375,2025,1,10,0.0
23.0,115.0,2025,1,10,0.0
23.0,115.625,2025,1,10,0.0
23.5,113.125,2025,1,10,0.0
23.5,113.75,2025,1,10,0.0
23.5,114.375,2025,1,10,0.0
23.5,115.0,2025,1,10,0.0
23.5,115.625,2025,1,10,0.0
21.0,113.125,2025,1,11,0.0
21.0,113.75,2025,1,11,0.0
21.0,114.375,2025,1,11,0.0
21.0,115.0,2025,1,11,0.01
21.0,115.625,2025,1,11,0.02
21.5,113.125,2025,1,11,0.0
21.5,113.75,2025,1,11,0.0
21.5,114.375,2025,1,11,0.0
21.5,115.0,2025,1,11,0.0
21.5,115.625,2025,1,11,0.0
22.0,113.125,2025,1,11,0.0
22.0,113.75,2025,1,11,0.0
22.0,114.375,2025,1,11,0.0
22.0,115.0,2025,1,11,0.0
22.0,115.625,2025,1,11,0.0
22.5,113.125,2025,1,11,0.0
22.5,113.75,2025,1,11,0.0
22.5,114.375,2025,1,11,0.0
22.5,115.0,2025,1,11,0.0
22.5,115.625,2025,1,11,0.0
23.0,113.125,2025,1,11,0.0
23.0,113.75,2025,1,11,0.0
23.0,114.375,2025,1,11,0.0
23.0,115.0,2025,1,11,0.0
23.0,115.625,2025,1,11,0.0
23.5,113.125,2025,1,11,0.0
23.5,113.75,2025,1,11,0.0
23.5,114.375,2025,1,11,0.0
23.5,115.0,2025,1,11,0.0
23.5,115.625,2025,1,11,0.0
21.0,113.125,2025,1,12,0.0
21.0,113.75,2025,1,12,0.0
21.0,114.375,2025,1,12,0.0
21.0,115.0,2025,1,12,0.0
21.0,115.625,2025,1,12,0.01
21.5,113.125,2025,1,12,0.0
21.5,113.75,2025,1,12,0.0
21.5,114.375,2025,1,12,0.0
21.5,115.0,2025,1,12,0.0
21.5,115.625,2025,1,12,0.0
22.0,113.125,2025,1,12,0.0
22.0,113.75,2025,1,12,0.0
22.0,114.375,2025,1,12,0.0
22.0,115.0,2025,1,12,0.0
22.0,115.625,2025,1,12,0.0
22.5,113.125,2025,1,12,0.0
22.5,113.75,2025,1,12,0.0
22.5,114.375,2025,1,12,0.0
22.5,115.0,2025,1,12,0.0
22.5,115.625,2025,1,12,0.0
23.0,113.125,2025,1,12,0.0
23.0,113.75,2025,1,12,0.0
23.0,114.375,2025,1,12,0.0
23.0,115.0,2025,1,12,0.0
23.0,115.625,2025,1,12,0.0
23.5,113.125,2025,1,12,0.0
23.5,113.75,2025,1,12,0.0
23.5,114.375,2025,1,12,0.0
23.5,115.0,2025,1,12,0.0
23.5,115.625,2025,1,12,0.0
21.0,113.125,2025,1,13,0.01
21.0,113.75,2025,1,13,0.0
21.0,114.375,2025,1,13,0.09
21.0,115.0,2025,1,13,0.45
21.0,115.625,2025,1,13,0.62
21.5,113.125,2025,1,13,0.0
21.5,113.75,2025,1,13,0.0
21.5,114.375,2025,1,13,0.05
21.5,115.0,2025,1,13,0.18
21.5,115.625,2025,1,13,0.21
22.0,113.125,2025,1,13,0.0
22.0,113.75,2025,1,13,0.0
22.0,114.375,2025,1,13,0.01
22.0,115.0,2025,1,13,0.05
22.0,115.625,2025,1,13,0.03
22.5,113.125,2025,1,13,0.0
22.5,113.75,2025,1,13,0.0
22.5,114.375,2025,1,13,0.0
22.5,115.0,2025,1,13,0.0
22.5,115.625,2025,1,13,0.0
23.0,113.125,2025,1,13,0.0
23.0,113.75,2025,1,13,0.0
23.0,114.375,2025,1,13,0.0
23.0,115.0,2025,1,13,0.0
23.0,115.625,2025,1,13,0.0
23.5,113.125,2025,1,13,0.0
23.5,113.75,2025,1,13,0.0
