-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS2M
21.0,113.125,2025,1,1,5.7
21.0,113.75,2025,1,1,5.94
21.0,114.375,2025,1,1,6.76
21.0,115.0,2025,1,1,7.52
21.0,115.625,2025,1,1,8.15
21.5,113.125,2025,1,1,5.01
21.5,113.75,2025,1,1,5.21
21.5,114.375,2025,1,1,6.0
21.5,115.0,2025,1,1,6.92
21.5,115.625,2025,1,1,7.6
22.0,113.125,2025,1,1,3.32
22.0,113.75,2025,1,1,4.61
22.0,114.375,2025,1,1,5.12
22.0,115.0,2025,1,1,6.22
22.0,115.625,2025,1,1,7.22
22.5,113.125,2025,1,1,1.85
22.5,113.75,2025,1,1,2.87
22.5,114.375,2025,1,1,3.17
22.5,115.0,2025,1,1,4.69
22.5,115.625,2025,1,1,5.98
23.0,113.125,2025,1,1,1.57
23.0,113.75,2025,1,1,1.49
23.0,114.375,2025,1,1,1.34
23.0,115.0,2025,1,1,1.5
23.0,115.625,2025,1,1,2.52
23.5,113.125,2025,1,1,1.65
23.5,113.75,2025,1,1,1.56
23.5,114.375,2025,1,1,1.12
23.5,115.0,2025,1,1,1.18
23.5,115.625,2025,1,1,0.76
21.0,113.125,2025,1,2,5.98
21.0,113.75,2025,1,2,6.3
21.0,114.375,2025,1,2,6.93
21.0,115.0,2025,1,2,7.48
21.0,115.625,2025,1,2,7.96
21.5,113.125,2025,1,2,4.63
21.5,113.75,2025,1,2,4.95
21.5,114.375,2025,1,2,5.88
21.5,115.0,2025,1,2,6.79
21.5,115.625,2025,1,2,7.47
22.0,113.125,2025,1,2,3.16
22.0,113.75,2025,1,2,3.7
22.0,114.375,2025,1,2,4.49
22.0,115.0,2025,1,2,5.61
22.0,115.625,2025,1,2,7.04
22.5,113.125,2025,1,2,2.45
22.5,113.75,2025,1,2,3.13
22.5,114.375,2025,1,2,3.09
22.5,115.0,2025,1,2,3.77
22.5,115.625,2025,1,2,5.0
23.0,113.125,2025,1,2,2.37
23.0,113.75,2025,1,2,2.5
23.0,114.375,2025,1,2,2.36
23.0,115.0,2025,1,2,2.18
23.0,115.625,2025,1,2,2.4
23.5,113.125,2025,1,2,2.53
23.5,113.75,2025,1,2,2.3
23.5,114.375,2025,1,2,2.13
23.5,115.0,2025,1,2,2.57
23.5,115.625,2025,1,2,1.89
21.0,113.125,2025,1,3,7.37
21.0,113.75,2025,1,3,7.09
21.0,114.375,2025,1,3,7.42
21.0,115.0,2025,1,3,8.21
21.0,115.625,2025,1,3,9.1
21.5,113.125,2025,1,3,6.23
21.5,113.75,2025,1,3,6.07
21.5,114.375,2025,1,3,6.49
21.5,115.0,2025,1,3,7.44
21.5,115.625,2025,1,3,8.58
22.0,113.125,2025,1,3,4.61
22.0,113.75,2025,1,3,4.97
22.0,114.375,2025,1,3,5.14
22.0,115.0,2025,1,3,6.2
22.0,115.625,2025,1,3,7.82
22.5,113.125,2025,1,3,3.55
22.5,113.75,2025,1,3,4.5
22.5,114.375,2025,1,3,3.66
22.5,115.0,2025,1,3,4.37
22.5,115.625,2025,1,3,5.82
23.0,113.125,2025,1,3,3.12
23.0,113.75,2025,1,3,3.19
23.0,114.375,2025,1,3,2.85
23.0,115.0,2025,1,3,2.58
23.0,115.625,2025,1,3,2.84
23.5,113.125,2025,1,3,3.13
23.5,113.75,2025,1,3,2.89
23.5,114.375,2025,1,3,2.54
23.5,115.0,2025,1,3,2.86
23.5,115.625,2025,1,3,2.34
