-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
21.5,113.5,2025,1,1,1.7808
21.5,114.5,2025,1,1,1.3884
21.5,115.5,2025,1,1,1.0656
22.5,113.5,2025,1,1,2.6465
22.5,114.5,2025,1,1,1.831
22.5,115.5,2025,1,1,1.411
23.5,113.5,2025,1,1,3.8714
23.5,114.5,2025,1,1,3.2712
23.5,115.5,2025,1,1,2.3602
21.5,113.5,2025,1,2,2.2886
21.5,114.5,2025,1,2,2.1538
21.5,115.5,2025,1,2,2.1818
22.5,113.5,2025,1,2,2.9261
22.5,114.5,2025,1,2,2.754
22.5,115.5,2025,1,2,2.7986
23.5,113.5,2025,1,2,3.9931
23.5,114.5,2025,1,2,4.0562
23.5,115.5,2025,1,2,4.0229
21.5,113.5,2025,1,3,4.5343
21.5,114.5,2025,1,3,4.3673
21.5,115.5,2025,1,3,4.4669
22.5,113.5,2025,1,3,4.3656
22.5,114.5,2025,1,3,4.4503
22.5,115.5,2025,1,3,4.325
23.5,113.5,2025,1,3,4.4052
23.5,114.5,2025,1,3,4.404
23.5,115.5,2025,1,3,4.5038
21.5,113.5,2025,1,4,3.6931
21.5,114.5,2025,1,4,2.335
21.5,115.5,2025,1,4,1.7998
22.5,113.5,2025,1,4,4.4897
22.5,114.5,2025,1,4,3.641
22.5,115.5,2025,1,4,2.9986
23.5,113.5,2025,1,4,4.6142
23.5,114.5,2025,1,4,4.6433
23.5,115.5,2025,1,4,4.6548
21.5,113.5,2025,1,5,3.6257
21.5,114.5,2025,1,5,2.8534
21.5,115.5,2025,1,5,2.136
22.5,113.5,2025,1,5,4.0495
22.5,114.5,2025,1,5,3.5014
22.5,115.5,2025,1,5,2.5774
23.5,113.5,2025,1,5,4.0745
23.5,114.5,2025,1,5,3.6684
23.5,115.5,2025,1,5,3.2234
21.5,113.5,2025,1,6,4.6457
21.5,114.5,2025,1,6,4.3572
21.5,115.5,2025,1,6,4.4374
22.5,113.5,2025,1,6,4.5852
22.5,114.5,2025,1,6,4.5883
22.5,115.5,2025,1,6,4.4412
23.5,113.5,2025,1,6,4.464
23.5,114.5,2025,1,6,4.4628
23.5,115.5,2025,1,6,4.5271
21.5,113.5,2025,1,7,3.1087
21.5,114.5,2025,1,7,1.4292
21.5,115.5,2025,1,7,1.3793
22.5,113.5,2025,1,7,3.9636
22.5,114.5,2025,1,7,3.3017
22.5,115.5,2025,1,7,1.7933
23.5,113.5,2025,1,7,4.1758
23.5,114.5,2025,1,7,4.1455
23.5,115.5,2025,1,7,3.594
21.5,113.5,2025,1,8,2.958
21.5,114.5,2025,1,8,3.2208
21.5,115.5,2025,1,8,3.5021
22.5,113.5,2025,1,8,3.4054
22.5,114.5,2025,1,8,3.9396
22.5,115.5,2025,1,8,4.1563
23.5,113.5,2025,1,8,4.1861
23.5,114.5,2025,1,8,4.1767
23.5,115.5,2025,1,8,4.2293
21.5,113.5,2025,1,9,4.1734
21.5,114.5,2025,1,9,4.3378
21.5,115.5,2025,1,9,3.6679
22.5,113.5,2025,1,9,4.2382
22.5,114.5,2025,1,9,4.1102
22.5,115.5,2025,1,9,4.116
23.5,113.5,2025,1,9,4.1964
23.5,114.5,2025,1,9,4.0718
23.5,115.5,2025,1,9,4.1875
21.5,113.5,2025,1,10,4.2713
21.5,114.5,2025,1,10,3.8179
21.5,115.5,2025,1,10,2.0933
22.5,113.5,2025,1,10,4.411
22.5,114.5,2025,1,10,4.2787
22.5,115.5,2025,1,10,3.7404
23.5,113.5,2025,1,10,4.439
23.5,114.5,2025,1,10,4.446
23.5,115.5,2025,1,10,4.4198
21.5,113.5,2025,1,11,4.2778
21.5,114.5,2025,1,11,4.0685
21.5,115.5,2025,1,11,3.5714
22.5,113.5,2025,1,11,4.3858
22.5,114.5,2025,1,11,4.1491
22.5,115.5,2025,1,11,4.2499
23.5,113.5,2025,1,11,4.2787
23.5,114.5,2025,1,11,4.1138
23.5,115.5,2025,1,11,4.2398
21.5,113.5,2025,1,12,4.9625
21.5,114.5,2025,1,12,5.0285
21.5,115.5,2025,1,12,4.7659
22.5,113.5,2025,1,12,4.9896
22.5,114.5,2025,1,12,5.0198
22.5,115.5,2025,1,12,4.9886
23.5,113.5,2025,1,12,5.0378
23.5,114.5,2025,1,12,5.046
23.5,115.5,2025,1,12,5.0731
21.5,113.5,2025,1,13,4.1366
21.5,114.5,2025,1,13,3.6962
21.5,115.5,2025,1,13,3.42
22.5,113.5,2025,1,13,4.4227
22.5,114.5,2025,1,13,3.9994
22.5,115.5,2025,1,13,4.1964
23.5,113.5,2025,1,13,4.783
23.5,114.5,2025,1,13,4.157
23.5,115.5,2025,1,13,4.5187
21.5,113.5,2025,1,14,1.7134
21.5,114.5,2025,1,14,1.5931
21.5,115.5,2025,1,14,1.4249
22.5,113.5,2025,1,14,2.574
22.5,114.5,2025,1,14,2.4178
22.5,115.5,2025,1,14,2.2109
23.5,113.5,2025,1,14,2.4499
23.5,114.5,2025,1,14,3.3636
23.5,115.5,2025,1,14,3.5234
21.5,113.5,2025,1,15,3.761
21.5,114.5,2025,1,15,3.9878
21.5,115.5,2025,1,15,2.7787
22.5,113.5,2025,1,15,3.8441
22.5,114.5,2025,1,15,4.3298
22.5,115.5,2025,1,15,3.9355
23.5,113.5,2025,1,15,3.3502
23.5,114.5,2025,1,15,3.4435
23.5,115.5,2025,1,15,4.1606
21.5,113.5,2025,1,16,4.1465
