Date,LAT,LON,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,WS2M
2025-01-01,21.5,113.5,1.7808,19.14,83.01,0.1,5.21
2025-01-01,21.5,114.5,1.3884,19.37,82.77,0.72,6.0
2025-01-01,21.5,115.5,1.0656,19.67,83.62,4.31,7.6
2025-01-01,22.5,113.5,2.6465,16.99,72.76,0.0,2.87
2025-01-01,22.5,114.5,1.831,16.4,77.75,0.37,3.17
2025-01-01,22.5,115.5,1.411,16.66,82.13,1.66,5.98
2025-01-01,23.5,113.5,3.8714,13.95,57.02,0.0,1.56
2025-01-01,23.5,114.5,3.2712,14.32,59.19,0.01,1.12
2025-01-01,23.5,115.5,2.3602,14.19,71.56,0.04,0.76
2025-01-02,21.5,113.5,2.2886,19.24,78.01,0.01,4.95
2025-01-02,21.5,114.5,2.1538,19.85,76.59,0.16,5.88
2025-01-02,21.5,115.5,2.1818,20.34,79.44,1.84,7.47
2025-01-02,22.5,113.5,2.9261,18.19,68.35,0.0,3.13
2025-01-02,22.5,114.5,2.754,17.82,68.48,0.01,3.09
2025-01-02,22.5,115.5,2.7986,18.15,74.77,0.04,5.0
2025-01-02,23.5,113.5,3.9931,14.82,58.95,0.0,2.3
2025-01-02,23.5,114.5,4.0562,14.62,58.0,0.0,2.13
2025-01-02,23.5,115.5,4.0229,14.63,67.41,0.0,1.89
2025-01-03,21.5,113.5,4.5343,19.15,63.96,0.0,6.07
2025-01-03,21.5,114.5,4.3673,19.81,67.96,0.01,6.49
2025-01-03,21.5,115.5,4.4669,20.44,72.23,0.24,8.58
2025-01-03,22.5,113.5,4.3656,16.86,58.78,0.0,4.5
2025-01-03,22.5,114.5,4.4503,16.21,60.3,0.0,3.66
2025-01-03,22.5,115.5,4.325,17.97,69.31,0.01,5.82
2025-01-03,23.5,113.5,4.4052,12.95,53.74,0.0,2.89
2025-01-03,23.5,114.5,4.404,12.78,52.44,0.0,2.54
2025-01-03,23.5,115.5,4.5038,13.05,56.21,0.0,2.34
2025-01-04,21.5,113.5,3.6931,18.54,73.46,0.03,6.49
2025-01-04,21.5,114.5,2.335,18.97,74.97,0.08,7.59
2025-01-04,21.5,115.5,1.7998,19.58,79.95,0.26,8.71
2025-01-04,22.5,113.5,4.4897,16.6,65.94,0.0,3.14
2025-01-04,22.5,114.5,3.641,16.04,69.24,0.04,3.71
2025-01-04,22.5,115.5,2.9986,16.97,74.47,0.1,7.29
2025-01-04,23.5,113.5,4.6142,13.43,55.52,0.0,1.75
2025-01-04,23.5,114.5,4.6433,13.26,56.54,0.0,1.45
2025-01-04,23.5,115.5,4.6548,12.6,66.41,0.0,1.62
2025-01-05,21.5,113.5,3.6257,19.01,77.24,0.04,4.53
2025-01-05,21.5,114.5,2.8534,19.71,74.01,0.22,5.52
2025-01-05,21.5,115.5,2.136,20.58,75.01,1.02,7.17
2025-01-05,22.5,113.5,4.0495,17.58,68.82,0.08,3.04
2025-01-05,22.5,114.5,3.5014,17.45,66.79,0.07,2.76
2025-01-05,22.5,115.5,2.5774,18.35,71.34,0.24,4.23
2025-01-05,23.5,113.5,4.0745,14.02,60.9,0.0,2.6
2025-01-05,23.5,114.5,3.6684,14.22,58.97,0.0,2.04
2025-01-05,23.5,115.5,3.2234,13.12,63.97,0.0,1.87
2025-01-06,21.5,113.5,4.6457,18.81,72.97,0.0,5.4
2025-01-06,21.5,114.5,4.3572,19.82,71.97,0.0,6.18
2025-01-06,21.5,115.5,4.4374,20.66,75.06,0.01,7.39
2025-01-06,22.5,113.5,4.5852,16.73,65.51,0.0,2.82
2025-01-06,22.5,114.5,4.5883,16.04,68.1,0.0,3.46
2025-01-06,22.5,115.5,4.4412,17.33,72.24,0.0,6.14
2025-01-06,23.5,113.5,4.464,13.2,58.29,0.0,2.31
2025-01-06,23.5,114.5,4.4628,12.94,59.1,0.0,1.96
2025-01-06,23.5,115.5,4.5271,13.11,61.6,0.0,1.76
2025-01-07,21.5,113.5,3.1087,18.78,74.54,0.0,5.5
2025-01-07,21.5,114.5,1.4292,19.28,75.64,0.01,6.17
2025-01-07,21.5,115.5,1.3793,19.87,79.47,0.16,7.17
2025-01-07,22.5,113.5,3.9636,16.68,74.67,0.0,2.77
2025-01-07,22.5,114.5,3.3017,16.26,73.64,0.0,3.14
2025-01-07,22.5,115.5,1.7933,16.92,75.16,0.0,6.37
2025-01-07,23.5,113.5,4.1758,13.13,64.08,0.0,1.98
2025-01-07,23.5,114.5,4.1455,13.0,66.88,0.0,1.54
2025-01-07,23.5,115.5,3.594,13.17,69.0,0.0,1.31
2025-01-08,21.5,113.5,2.958,18.83,75.16,0.0,5.17
2025-01-08,21.5,114.5,3.2208,19.57,74.34,0.0,6.05
2025-01-08,21.5,115.5,3.5021,20.33,75.45,0.01,7.47
2025-01-08,22.5,113.5,3.4054,16.98,68.3,0.0,2.9
2025-01-08,22.5,114.5,3.9396,16.54,68.09,0.0,2.8
2025-01-08,22.5,115.5,4.1563,17.13,74.48,0.0,5.49
